VisualID,EngineeringQuestion,OwnerReport,ExistingVisualTitle,ExistingVisualPath,OriginalSource,QuestionAnswered,ImportantMetric,DecisionRelevance,Readability,HistoricalOrCurrent,MainStorySuitability,TechnicalReferenceSuitability,MissingVisual,CandidateSource,RecommendedAction,Priority,Notes
VIS-11,Target geometry,"02A","Geographic and delay-Doppler placement",02A_SyntheticEchoGeneration_assets,"Accepted atlas and generator evidence",Target geometry,"-76.456 microseconds, +540.5 Hz",Inspect support before interpretation,Strong,Current accepted diagnostic,Yes,Yes,,,Bundle atlas visuals,P1,Original or source-backed only; no decorative replacement recommended.
VIS-12,Before/after injection,"02A","Source-derived channel-contract schematic",02A native HTML channel-contract schematic,"No recoverable raw matched pair",Before/after injection,"Not applicable",Do not fabricate visual,Strong,Current explanatory,No,Yes,Original raw before/after injection pair,Unrecovered original only,Record known gap; retain labelled schematic,P2,Original or source-backed only; no decorative replacement recommended.
VIS-13,Passive map formation,"03","G1-G10 gate architecture",03_AnalysisPipelineAndGateRebuild.html,"Report 03 and passive pipeline sources",Passive map formation,"G1-G10",Protect downstream claims,Strong,Current process,Yes,Yes,,,Use original report figure,P1,Original or source-backed only; no decorative replacement recommended.
VIS-14,Direct-path cancellation,"04","Cancellation characterization graphic",04_MitigationAndMapRateRecovery_V2.html,"Cancellation characterization bundle",Direct-path cancellation,"9/9 native-first map controls",Review bounded correction only,Strong,Current diagnostic,Yes,Yes,,,Use original report figure,P1,Original or source-backed only; no decorative replacement recommended.
VIS-15,Map-rate mismatch,"04","Corrected map-rate and R5A comparison",04_MitigationAndMapRateRecovery_V2.html,"G4-R diagnosis/checkpoint/matrix evidence",Map-rate mismatch,"59/108 R5A failures",Retain R5A failure,Strong,Current diagnostic,Yes,Yes,,,Use original report figure,P1,Original or source-backed only; no decorative replacement recommended.
VIS-16,Detector support,"05","Support-policy and CFAR placement",05_StrongestEvidence_G4RRecoveryStudy.html,"Atlas policy and CFAR artifacts",Detector support,"Configured Pfa context",Do not call exclusion a miss,Strong,Current diagnostic,Yes,Yes,,,Use original atlas figure,P1,Original or source-backed only; no decorative replacement recommended.
VIS-17,Bounded recovery,"05","Paired native-first/no-mitigation atlas outcomes",G4_R_Close_Target_Atlas_Recovery summary.html,"C:\Users\pwilliam\agenticProjects\PassiveBistaticRestart\artifacts\20260622T102123\G4_R_Close_Target_Atlas_Recovery\20260918T134014380Z\summary.html",Bounded recovery,"8/8 versus 0/8",Retain bounded diagnostic conclusion,Strong,Current diagnostic,Yes,Yes,,,Use original atlas figure,P1,Original or source-backed only; no decorative replacement recommended.
VIS-18,Current blockers,"06","Independent blocker and action view",06_StatusAndFutureWork_V2.html,"Report 06 and hardware/map blocker evidence",Current blockers,"Two blockers",Keep independent blockers,Strong,Current status,Yes,Yes,,,Use original status figure,P1,Original or source-backed only; no decorative replacement recommended.
VIS-19,Future measurement and localization path,"01, 03, 06","Measurement-to-tracking-to-localization path",01/03/06 release-local continuity block,"Reports 01, 03, and 06",Future measurement and localization path,"No validated measurement yet",Do not infer tracking/localization,Strong,Current boundary,Yes,Yes,,,Use release-local glue block only,P2,Original or source-backed only; no decorative replacement recommended.
VIS-20,System architecture and as-built status,"SYS companion","Functional architecture with as-built status",systems/SystemArchitectureAndCueTasking_V1.html (inline SVG),"docs/system System_Architecture.md, ICD_Messages.md, As_Built.md",Which items exist and which link is verified,"One verified link",Separate designed from built,Strong,Current,Yes,Yes,,,Keep inline and update with As_Built,P1,Source-backed schematic; no performance content.
VIS-21,Message size before and after CR-5,"SYS companion","Median bytes per message",systems/SystemArchitectureAndCueTasking_assets/fig_message_size.svg,"docs/system/evidence captures 20260926T1234Z and T1523Z",Why compression was needed,"7,962 B to 681 B per cue",Justify the encoding decision,Strong,Current,Yes,Yes,,,Regenerate with summarize_cue_capture.py,P1,Measured message sizes.
VIS-22,One-frame fit of every cue,"SYS companion","track_cue bytes against opportunities",systems/SystemArchitectureAndCueTasking_assets/fig_cue_size_vs_opportunities.svg,"docs/system/evidence capture 20260926T1523Z",Whether every cue fits one frame,"0 of 223 over 1472 B; max 747 B",Accept the interface,Strong,Current,Technical reference,Yes,,,Regenerate with summarize_cue_capture.py,P2,Measured message interface; not radar evidence.
VIS-23,Live capture timeline,"SYS companion","What arrived, and when",systems/SystemArchitectureAndCueTasking_assets/fig_capture_timeline.svg,"docs/system/evidence capture 20260926T1523Z",Snapshot and heartbeat regularity,"15 snapshots consistent",Accept the interface,Strong,Current,Technical reference,Yes,,,Regenerate with summarize_cue_capture.py,P2,Measured message interface; not radar evidence.
